Applied Information Management,507,Robin,Ashford,Sem Prof ID Mgmt,4.6,4.8,4.8,4.6,4.8,4.6,4.6
Applied Information Management,607,Neal,Bastek,Sem Info Architecture,3.98,4.13,4.34,4.06,4.38,4.01,3.94
Applied Information Management,607,Travis,Luckey,Sem Continuity Plan,4.29,4.23,4.25,4.25,4.14,4.23,4.04
Applied Information Management,607,Jane,Maitland-Gholson,Sem Research Methods,4.43,4.38,4.27,4.2,4.47,3.72,4.41
Applied Information Management,607,Darin,Stewart,Sem New Knowledge Mgmt,4.33,4.21,4.08,4.08,3.58,3.62,4.21
Applied Information Management,607,Kelly,Brown,Sem Info Visualization,4.33,4.49,4.45,4.42,4.66,4.47,4.35
Applied Information Management,607,Tim,Williams,Sem Process v Practice,4.57,4.65,4.72,4.78,4.7,4.35,4.63
Applied Information Management,607,Travis,Luckey,Sem Managing IT/IS Sec,4.25,4.5,4.5,4.5,4.5,4.5,4.0
Applied Information Management,607,Jane,Maitland-Gholson,Sem Writing Research,4.03,4.06,3.83,4.01,4.47,3.54,3.97
Applied Information Management,607,Abhijit,Pandit,Sem Data-Driven Orgs,4.32,4.39,4.69,4.55,4.69,4.54,4.25
Applied Information Management,607,David,Ryan,Sem Lean Six Sigma,3.4,4.0,4.0,4.2,4.4,4.0,3.4
Applied Information Management,607,Jonathan,Cain,Sem Electronic Info,3.0,3.0,4.0,1.0,4.0,3.0,4.0
Applied Information Management,607,Kuli,Mavuwa,Sem IT and Ethics,4.08,3.92,4.25,4.08,4.5,4.5,3.67
Applied Information Management,607,Robin,Ashford,Sem Prof ID Mgmt,4.6,4.6,4.4,4.4,4.8,4.4,4.4
Applied Information Management,607,Jonathan,Dolan,Sem Vendor Mgmt,3.46,3.73,3.66,3.71,3.98,3.5,3.32
Applied Information Management,607,Jane,Maitland-Gholson,Sem Virtual Learning,4.23,4.35,4.22,4.48,4.6,4.28,4.15
Applied Information Management,607,Miriam,Rigby,Sem Electronic Info,4.4,4.5,4.55,4.4,4.6,4.65,4.4
Applied Information Management,607,David,Tucker,Sem Managerial Account,3.88,4.04,3.77,3.71,3.73,3.79,3.75
Applied Information Management,607,Neal,Bastek,Sem Digital Engagement,4.75,5.0,4.0,4.25,4.75,4.25,3.75
Applied Information Management,607,Grant,Kirby,Sem Org Data Strat,3.0,3.0,3.33,3.33,4.0,3.0,3.0
Applied Information Management,607,Marsha,Willard,Sem Sustain Business,4.12,4.15,4.24,3.96,3.98,3.76,3.78
Applied Information Management,607,Travis,Luckey,Sem Manage IT Security,4.33,4.17,4.33,4.17,4.67,4.17,4.0
Applied Information Management,607,Kara,McFall,Sem Mgt Info Asset Wld,4.6,4.4,4.4,4.6,4.6,4.5,4.4
Applied Information Management,607,Kara,McFall,Sem Manage IT Security,4.33,4.33,4.0,4.0,4.67,4.33,4.0
Applied Information Management,607,Darin,Stewart,Sem Mgt Info Asset Wld,4.25,4.12,4.25,4.25,4.38,4.12,4.25
Applied Information Management,607,Kelly,Brown,Sem Info Architecture,4.75,5.0,5.0,5.0,5.0,4.75,5.0
Applied Information Management,607,Darin,Stewart,Sem Enterpris Info Mgt,4.67,4.83,4.61,4.5,4.39,4.67,4.61
Applied Information Management,607,Arthur,Gilbert,Sem Managerial Account,3.6,3.4,3.8,3.6,3.4,3.4,3.8
Applied Information Management,607,Karen,Munro,Sem Electronic Info,4.17,4.17,4.17,4.17,4.0,4.17,4.0
